Domain,date
Bayerische Motoren Werke Aktiengesellschaft,2026-05-07
Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),2026-05-07
Not assigned,2026-05-07
BNP Paribas,2026-05-07
Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,2026-05-07
XYZ.COM LLC,2026-05-07
Boehringer Ingelheim International GmbH,2026-05-07
Bank of America Corporation,2026-05-07
Núcleo de Informação e Coordenação do Ponto BR - NIC.br,2026-05-07
Shortdot SA,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Booking.com B.V.,2026-05-07
Not assigned,2026-05-07
Robert Bosch GMBH,2026-05-07
Bostik SA,2026-05-07
"Registry Services, LLC",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
Intercap Registry Inc.,2026-05-07
Not assigned,2026-05-07
Comite Gestor da Internet no Brasil,2026-05-07
Banco Bradesco S.A.,2026-05-07
Bridgestone Corporation,2026-05-07
"Celebrate Broadway, Inc.",2026-05-07
"Dog Beach, LLC",2026-05-07
"Brother Industries, Ltd.",2026-05-07
DNS.be vzw,2026-05-07
University of The Bahamas,2026-05-07
Ministry of Information and Communications,2026-05-07
Not assigned,2026-05-07
Not assigned,2026-05-07
Plan Bee LLC,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Amazon Registry Services, INC",2026-05-07
DOTSTRATEGY CO.,2026-05-07
Norid A/S,2026-05-07
Botswana Communications Regulatory Authority (BOCRA),2026-05-07
Belarusian Cloud Technologies LLC,2026-05-07
University of Belize,2026-05-07
Association www.bzh,2026-05-07
Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
PVH gTLD Holdings LLC,2026-05-07
CAM Connecting SarL,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Canon Inc.,2026-05-07
ZA Central Registry NPC trading as ZA Central Registry,2026-05-07
"Binky Moon, LLC",2026-05-07
Capital One Financial Corporation,2026-05-07
XYZ.COM LLC,2026-05-07
"Caravan International, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
dotCareer LLC,2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
Not assigned,2026-05-07
"Registry Services, LLC",2026-05-07
"Digity, LLC",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Fundacio puntCAT,2026-05-07
"Binky Moon, LLC",2026-05-07
Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2026-05-07
COMMONWEALTH BANK OF AUSTRALIA,2026-05-07
"The Christian Broadcasting Network, Inc.",2026-05-07
"CBRE, Inc.",2026-05-07
Not assigned,2026-05-07
eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services,2026-05-07
Office Congolais des Postes et Télécommunications - OCPT,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
"European Organization for Nuclear Research (""CERN"")",2026-05-07
Societe Centrafricaine de Telecommunications (SOCATEL),2026-05-07
CFA Institute,2026-05-07
Shortdot SA,2026-05-07
Interpoint Switzerland,2026-05-07
SWITCH The Swiss Education & Research Network,2026-05-07
Chanel International B.V.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Public Interest Registry (PIR),2026-05-07
"JPMorgan Chase Bank, National Association",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
CHINTAI Corporation,2026-05-07
Not assigned,2026-05-07
XYZ.COM LLC,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),2026-05-07
Hotel Cipriani Srl,2026-05-07
"Jolly Host, LLC",2026-05-07
"Cisco Technology, Inc.",2026-05-07
Citadel Domain LLC,2026-05-07
Citigroup Inc.,2026-05-07
CITIC Group Corporation,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Telecom Cook Islands Ltd.,2026-05-07
NIC Chile (University of Chile),2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Internet Naming Co.,2026-05-07
"Binky Moon, LLC",2026-05-07
The Estée Lauder Companies Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
ARUBA PEC S.p.A.,2026-05-07
"Registry Services, LLC",2026-05-07
Club Méditerranée S.A.,2026-05-07
Agence Nationale des Technologies de l'Information et de la Communication (ANTIC),2026-05-07
China Internet Network Information Center (CNNIC),2026-05-07
Ministry of Information and Communications Technologies (MinTIC),2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
dotKoeln GmbH,2026-05-07
VeriSign Global Registry Services,2026-05-07
Not assigned,2026-05-07
COMMONWEALTH BANK OF AUSTRALIA,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"VeriSign, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
DotCooperation LLC,2026-05-07
Collectivité de Corse,2026-05-07
Internet Naming Co.,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
